Az_deg,El_deg,Gain_dBi,Gain_linear
-180,-90,-12.4798446578063,0.0564957182326359
-180,-85,-10.2293963066115,0.0948550307884606
-180,-80,-5.92067898088634,0.25581859059728
-180,-75,-3.4863210909277,0.448092722849648
-180,-70,-2.30729411685875,0.58785550336295
-180,-65,-2.02606075406596,0.62718248942549
-180,-60,-2.48622073278408,0.564128351541363
-180,-55,-3.62799542058333,0.433711020826637
-180,-50,-5.41410749192562,0.287467830109284
-180,-45,-7.63738026158412,0.172290754882151
-180,-40,-9.33020352160353,0.116675493863192
-180,-35,-8.95778897898806,0.127122112730759
-180,-30,-7.15333185101119,0.192604670814707
-180,-25,-5.33477263185185,0.292767414120158
-180,-20,-3.91650873942144,0.405834651764696
-180,-15,-2.89074963093336,0.513954930729761
-180,-10,-2.1786846115499,0.605524247793524
-180,-5,-1.70577390580068,0.675184726439052
-180,0,-1.41130841327938,0.72255208516264
-180,5,-1.2462300704944,0.750545443874972
-180,10,-1.1701257999682,0.763813658238872
-180,15,-1.14969627515615,0.767415156840506
-180,20,-1.15928580849401,0.765722518608908
-180,25,-1.18329848133512,0.761500428175158
-180,30,-1.21936439467925,0.755202746168381
-180,35,-1.28033227146594,0.744674997884156
-180,40,-1.39343268417402,0.725532266597917
-180,45,-1.59640081351182,0.692404558857269
-180,50,-1.93179982225384,0.640943898753542
-180,55,-2.44101697004019,0.570030774821548
-180,60,-3.15849185535172,0.483226579685269
-180,65,-4.10584222858696,0.388522144432356
-180,70,-5.28612332833596,0.296065407567919
-180,75,-6.68178067878885,0.214695000883333
-180,80,-8.26320220269149,0.149169412656961
-180,85,-9.99440352743945,0.100128946607652
-180,90,-11.7031081374923,0.0675599292737588
-175,-90,-12.4798446578063,0.0564957182326359
-175,-85,-10.2143244176156,0.095184790471747
-175,-80,-5.91947368813897,0.255889597504992
-175,-75,-3.4869770204274,0.44802505101562
-175,-70,-2.3034927903736,0.588370271347668
-175,-65,-2.01227918915752,0.629175902987603
-175,-60,-2.45508210242456,0.568187649994777
-175,-55,-3.5672323650724,0.439821812050379
-175,-50,-5.3014611202885,0.295021650247326
-175,-45,-7.43920875889115,0.180334626258435
-175,-40,-9.0571319588426,0.124247255426626
-175,-35,-8.74458542172898,0.133518504047622
-175,-30,-7.04429383541107,0.197501599170338
-175,-25,-5.28420974941486,0.296195888009174
-175,-20,-3.89266820425894,0.408068601447298
-175,-15,-2.87874750568699,0.51537725664973
-175,-10,-2.17156293609136,0.606518017007429
-175,-5,-1.70009626738284,0.676067989243184
-175,0,-1.40530043410692,0.72355234699949
-175,5,-1.23898269217606,0.751798977630759
-175,10,-1.16126211811902,0.765374146576785
-175,15,-1.13926045071608,0.769261424750704
-175,20,-1.14773168667937,0.767762385758238
-175,25,-1.17148743697836,0.763574218419653
-175,30,-1.20850242846988,0.757093917641033
-175,35,-1.27182363479495,0.746135384829302
-175,40,-1.38869084790828,0.726324870283582
-175,45,-1.59669016187737,0.692358428993345
-175,50,-1.93815681473151,0.640006402387134
-175,55,-2.45424275066243,0.568297473032765
-175,60,-3.17915526882807,0.480932883944225
-175,65,-4.13418450382804,0.385994884953796
-175,70,-5.3216908745215,0.293650613521837
-175,75,-6.72254329700568,0.212689313902823
-175,80,-8.30393129197149,0.147777008520862
-175,85,-10.0241751242497,0.0994448936337856
-175,90,-11.7031081374923,0.0675599292737588
-170,-90,-12.4798446578063,0.0564957182326359
-170,-85,-10.2323553775784,0.0947904232055196
-170,-80,-5.96024097060619,0.253498797143803
-170,-75,-3.51946378168983,0.444686168960174
