Az_deg,El_deg,Gain_dBi,Gain_linear
-180,-90,-14.1882309454662,0.0381221078311473
-180,-85,-17.4970192872328,0.0177950032343986
-180,-80,-21.3376065562549,0.00734918778239317
-180,-75,-25.0677271545598,0.00311334525516984
-180,-70,-26.5877735861018,0.00219392936663048
-180,-65,-26.0277361187884,0.00249589544306385
-180,-60,-25.5380205204538,0.0027938169505208
-180,-55,-25.6581004473487,0.00271762766709431
-180,-50,-26.0176955630286,0.00250167243755834
-180,-45,-25.9942731211572,0.0025152009470488
-180,-40,-25.4102598889821,0.00287722623161988
-180,-35,-24.4624238529954,0.00357896634666855
-180,-30,-22.8499468085336,0.0051880639312064
-180,-25,-20.2346357166288,0.0094740664902162
-180,-20,-17.2404104055976,0.0188781294351201
-180,-15,-14.6257515722529,0.0344686951298608
-180,-10,-12.7006049900449,0.0536956990846505
-180,-5,-11.5326916517454,0.0702636707736515
-180,0,-11.1247620019589,0.0771833811748013
-180,5,-11.4775157481696,0.0711620458474245
-180,10,-12.6094875727962,0.0548341660333589
-180,15,-14.563914255936,0.034962990678282
-180,20,-17.3997943142807,0.018197870432978
-180,25,-21.0941326830498,0.00777296534937365
-180,30,-25.0142125471127,0.00315194583205271
-180,35,-27.1685493215541,0.001919309742668
-180,40,-27.2673904374654,0.00187612148202912
-180,45,-27.0458646031593,0.00197430179186977
-180,50,-26.7763195370025,0.00210071940078494
-180,55,-26.1035892802664,0.00245268102935207
-180,60,-25.0599163028296,0.00311894969186853
-180,65,-23.9392397854424,0.00403716055611322
-180,70,-22.833152518946,0.00520816516109705
-180,75,-21.5515751844889,0.00699588209594568
-180,80,-19.828048164109,0.010403876388846
-180,85,-17.6228070775758,0.0172869864761759
-180,90,-15.1579386515201,0.0304934199511367
-175,-90,-14.1882309454662,0.0381221078311473
-175,-85,-17.5218605773433,0.0176935078169148
-175,-80,-21.4362490953426,0.0071841450199718
-175,-75,-25.2150906686752,0.0030094763386756
-175,-70,-26.3306275725026,0.00232775486368366
-175,-65,-25.2301970059209,0.00299902647319443
-175,-60,-24.4040465361025,0.00362739914576439
-175,-55,-24.4336435383332,0.00360276260372473
-175,-50,-25.2299854913532,0.00299917253842477
-175,-45,-26.4419788217493,0.00226883084500861
-175,-40,-27.247211003381,0.00188485913898208
-175,-35,-26.4873105829578,0.00224527190303926
-175,-30,-23.9941564563258,0.00398643194501215
-175,-25,-20.7871560893361,0.00834227286713503
-175,-20,-17.746101482964,0.0168031170121825
-175,-15,-15.2656264966384,0.0297466011481728
-175,-10,-13.476171110167,0.0449141193786527
-175,-5,-12.4097432029693,0.0574150410546021
-175,0,-12.0717847409945,0.062061393940177
-175,5,-12.4677954994508,0.0566526787900105
-175,10,-13.6099042220064,0.0435521478438826
-175,15,-15.5041481663616,0.0281569223632289
-175,20,-18.0823017423187,0.0155514119491851
-175,25,-20.9664561129745,0.00800487194238609
-175,30,-23.1573499461207,0.00483353653241367
-175,35,-23.983789428083,0.00399595930947712
-175,40,-24.2408057238557,0.00376633917579333
-175,45,-24.6540928344268,0.00342444910937012
-175,50,-25.1992018309735,0.00302050679386939
-175,55,-25.4706679295786,0.00283748260007683
-175,60,-25.1683739957416,0.00304202375019034
-175,65,-24.3772931269337,0.00364981361833134
-175,70,-23.2716271208709,0.0047080090382424
-175,75,-21.8270156328754,0.00656596308488329
-175,80,-19.9344989982844,0.0101519647278977
-175,85,-17.6414183411252,0.0172130633015798
-175,90,-15.1579386515201,0.0304934199511367
-170,-90,-14.1882309454662,0.0381221078311473
-170,-85,-17.5149717979697,0.0177215955307206
-170,-80,-21.4362250499139,0.00718418479628308
-170,-75,-25.1184682296645,0.00307718195514441
-170,-70,-25.7728006894728,0.0026467927175984
-170,-65,-24.3003999500113,0.00371501015289895
-170,-60,-23.2729456034351,0.00470657994210583
-170,-55,-23.2088072342374,0.00477660442441826
-170,-50,-24.0958739064447,0.00389414940033379
-170,-45,-25.6729319486127,0.00270836258241291
-170,-40,-26.6728865380698,0.00215135136384621
-170,-35,-25.2916197170681,0.00295690947073808
-170,-30,-22.68297978377,0.00539140580141235
-170,-25,-20.3026815481386,0.0093267824146572
-170,-20,-18.4033277960063,0.0144433262191516
-170,-15,-16.9417146833281,0.0202222060703878
-170,-10,-15.8978173345888,0.0257168792997461
-170,-5,-15.295563918921,0.0295422526590122
-170,0,-15.1642319454192,0.0304492644100744
-170,5,-15.5009607719432,0.0281775950088249
-170,10,-16.2384736968467,0.0237767576037168
-170,15,-17.2183752430428,0.018974156384175
-170,20,-18.2120052769236,0.0150938306266803
-170,25,-19.0517345474795,0.0124401765895478
-170,30,-19.7740522034592,0.0105340355496114
-170,35,-20.559725188852,0.00879078141030598
-170,40,-21.5526372218696,0.00699417151010675
-170,45,-22.7522804628903,0.00530605752116946
-170,50,-23.9725280899109,0.00400633435318007
-170,55,-24.8564549658423,0.00326854526253038
-170,60,-25.072298506674,0.00311006989472183
-170,65,-24.5784006821622,0.00348465616153241
-170,70,-23.521161121781,0.00444512407556722
-170,75,-21.9769054938156,0.00634321527435651
-170,80,-19.9745154719114,0.0100588528005853
-170,85,-17.6352592045818,0.0172374920760458
-170,90,-15.1579386515201,0.0304934199511367
-165,-90,-14.1882309454662,0.0381221078311473
-165,-85,-17.4762085360348,0.01788047889582
-165,-80,-21.337156086941,0.00734995011196824
-165,-75,-24.8064069537143,0.00330642978593813
-165,-70,-25.0594901045851,0.00311925578742501
-165,-65,-23.3791315496786,0.00459289846961823
